ts,duration,orig_bytes,resp_bytes,orig_pkts,resp_pkts,binary_label,capture_name
1537534722.810247,-,-,-,1,0,BENIGN,honeypot_5
1537540680.070322,58.495811,3000,0,10,0,BENIGN,honeypot_5
1540508524.922627,0.007998,37,442,1,1,BENIGN,honeypot_4
1536227576.276053,6e-06,0,0,2,0,MALICIOUS,malware_17
1532101363.61954,-,-,-,1,0,MALICIOUS,malware_7
1537527456.728771,0.241617,0,0,4,2,BENIGN,honeypot_5
1537526812.468808,7.000913,804,0,4,0,BENIGN,honeypot_5
1526249646.021802,2.999206,0,0,3,0,MALICIOUS,malware_1
1537526555.1911,0.243473,0,0,4,2,BENIGN,honeypot_5
1536228395.495313,2e-06,0,0,2,0,MALICIOUS,malware_17
1537542505.171443,-,-,-,1,0,BENIGN,honeypot_5
1526837578.616796,-,-,-,1,0,MALICIOUS,malware_3
1536227333.624922,2e-06,0,0,2,0,MALICIOUS,malware_17
1540472539.348081,0.017238,48,48,1,1,BENIGN,honeypot_4
1532102863.24373,-,-,-,1,0,MALICIOUS,malware_7
1537536718.162057,7.005141,1247,0,6,0,BENIGN,honeypot_5
1532101794.979099,-,-,-,1,0,MALICIOUS,malware_7
1533082552.41339,-,-,-,1,0,MALICIOUS,malware_8
1525962637.010967,2.998794,0,0,3,0,MALICIOUS,malware_1
1526244009.053318,-,-,-,1,0,MALICIOUS,malware_1
1537527156.362022,0.356058,0,0,4,2,BENIGN,honeypot_5
1536228015.488643,6e-06,0,0,2,0,MALICIOUS,malware_17
1526080082.013001,-,-,-,1,0,MALICIOUS,malware_1
1526001710.012259,2.998565,0,0,3,0,MALICIOUS,malware_1
1537538314.51329,0.184303,48,48,1,1,BENIGN,honeypot_5
1532103941.218731,-,-,-,1,0,MALICIOUS,malware_7
1540546342.514567,0.058485,34,311,1,1,BENIGN,honeypot_4
1532101700.417515,-,-,-,1,0,MALICIOUS,malware_7
1540540925.63138,0.000500,46,173,1,1,BENIGN,honeypot_4
1540483150.54047,0.114182,48,48,1,1,BENIGN,honeypot_4
1537538314.271981,300.115517,292,775,9,7,BENIGN,honeypot_5
1540471631.533708,0.003498,0,0,4,2,BENIGN,honeypot_4
1526847145.747352,2.993995,0,0,3,0,MALICIOUS,malware_3
1532102574.33214,-,-,-,1,0,MALICIOUS,malware_7
1540541842.110424,0.011245,0,0,5,3,BENIGN,honeypot_4
1540501325.09911,0.000499,37,100,1,1,BENIGN,honeypot_4
1525892092.011762,-,-,-,1,0,MALICIOUS,malware_1
1532102085.96746,-,-,-,1,0,MALICIOUS,malware_7
1537530900.398004,55.432040,3733,4865,17,16,BENIGN,honeypot_5
1536228038.451786,5e-06,0,0,2,0,MALICIOUS,malware_17
1536228305.340232,5e-06,0,0,2,0,MALICIOUS,malware_17
1536228297.369787,2e-06,0,0,2,0,MALICIOUS,malware_17
1532105886.266283,-,-,-,1,0,MALICIOUS,malware_7
1525896324.013055,-,-,-,1,0,MALICIOUS,malware_1
1536227296.332037,1e-06,0,0,2,0,MALICIOUS,malware_17
1526070592.013685,-,-,-,1,0,MALICIOUS,malware_1
1526248992.050046,-,-,-,1,0,MALICIOUS,malware_1
1537529936.212497,0.014861,41,57,1,1,BENIGN,honeypot_5
