src_ip,dst_ip,protocol,time_bin,start_time,end_time,packet_count,total_bytes,mean_pkt_len,std_pkt_len,min_pkt_len,max_pkt_len,duration_s,packets_per_s,bytes_per_s
0.0.0.0,255.255.255.255,17,29512416,1770744996.887558,1770744998.115928,3,1044,348.0,0.0,348,348,1.228369951248169,2.4422609792364636,849.9068207742893
104.16.79.73,192.168.68.114,6,29512424,1770745465.573267,1770745491.926742,24,17046,710.25,649.9020829258085,72,1520,26.353475093841553,0.9106958347822778,646.8217166541128
104.16.79.73,192.168.68.114,6,29512425,1770745510.944502,1770745556.114629,3,216,72.0,0.0,72,72,45.17012691497803,0.06641557606527834,4.781921476700041
104.16.79.73,192.168.68.114,6,29512426,1770745565.752568,1770745601.128781,2,144,72.0,0.0,72,72,35.37621307373047,0.056535163778882604,4.070531792079548
104.16.79.73,192.168.68.114,6,29512427,1770745648.167575,1770745648.167575,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.16.79.73,192.168.68.114,6,29512428,1770745693.214411,1770745738.274568,2,144,72.0,0.0,72,72,45.06015706062317,0.04438510938408923,3.1957278756544247
104.18.19.163,192.168.68.114,6,29512417,1770745032.889919,1770745078.851361,42,38209,909.7380952380952,639.2632214653324,72,1520,45.96144199371338,0.9138094493585466,831.3272678700167
104.18.19.163,192.168.68.114,6,29512418,1770745080.002582,1770745125.922761,3,216,72.0,0.0,72,72,45.92017889022827,0.06533075594438494,4.703814427995715
104.18.19.163,192.168.68.114,6,29512419,1770745170.977989,1770745170.977989,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.19.163,192.168.68.114,6,29512420,1770745216.065728,1770745216.065728,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.19.163,192.168.68.114,6,29512421,1770745261.093649,1770745306.15827,2,144,72.0,0.0,72,72,45.06462097167969,0.04438071278258117,3.195411320345844
104.18.19.163,192.168.68.114,6,29512422,1770745351.194679,1770745351.194679,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.19.163,192.168.68.114,6,29512423,1770745396.259974,1770745434.987806,4,327,81.75,19.5,72,111,38.727832078933716,0.10328489319637979,8.443540018804049
104.18.19.163,192.168.68.114,17,29512417,1770745034.778602,1770745079.845429,59,52111,883.2372881355932,496.93898671432174,72,1248,45.066827058792114,1.309166938312105,1156.305056311561
104.18.19.163,192.168.68.114,17,29512418,1770745099.538831,1770745136.205523,179,172232,962.1899441340782,455.28206803183576,71,1248,36.66669201850891,4.881814806463668,4697.233115904192
104.18.19.163,192.168.68.114,17,29512419,1770745146.974,1770745197.553121,157,151821,967.0127388535032,454.0720741849581,72,1248,50.579121112823486,3.104047609878205,3001.6535807599935
104.18.19.163,192.168.68.114,17,29512420,1770745203.01362,1770745210.774952,53,50645,955.566037735849,471.62230281941805,73,1248,7.761332035064697,6.828724729280082,6525.297432346976
104.18.32.137,192.168.68.114,6,29512415,1770744957.643653,1770744957.737566,11,5181,471.0,559.4785071832518,72,1520,0.09391307830810547,117.12958618938816,55168.03509520183
104.18.32.137,192.168.68.114,6,29512416,1770744960.138129,1770745009.484704,30,8982,299.4,447.6424527647499,72,1520,49.346575021743774,0.6079449280275476,182.01871145144776
104.18.32.137,192.168.68.114,6,29512417,1770745052.202367,1770745056.29821,2,144,72.0,0.0,72,72,4.0958428382873535,0.4882999858549957,35.15759898155969
104.18.32.137,192.168.68.114,6,29512418,1770745097.394348,1770745101.382395,2,144,72.0,0.0,72,72,3.9880471229553223,0.501498587739332,36.1078983172319
104.18.32.137,192.168.68.114,6,29512419,1770745142.418597,1770745191.618467,4,288,72.0,0.0,72,72,49.199870109558105,0.0813010276468782,5.85367399057523
104.18.32.137,192.168.68.114,6,29512420,1770745234.469404,1770745236.640131,2,144,72.0,0.0,72,72,2.170727014541626,0.9213503064190331,66.33722206217038
104.18.32.137,192.168.68.114,6,29512421,1770745279.545745,1770745283.669781,2,144,72.0,0.0,72,72,4.124036073684692,0.4849618102911173,34.91725034096044
104.18.32.137,192.168.68.114,6,29512422,1770745324.580113,1770745364.284595,8,654,81.75,18.053491945564755,72,111,39.704482078552246,0.2014885872122099,16.47169200459816
104.18.37.31,192.168.68.114,6,29512424,1770745472.135442,1770745492.582803,38,32523,855.8684210526316,640.2757079720119,72,1520,20.44736099243164,1.858430533606037,1590.5720064333984
104.18.37.31,192.168.68.114,6,29512425,1770745516.590382,1770745544.55262,26,2751,105.8076923076923,36.18731184353901,72,173,27.96223783493042,0.9298254364863747,98.38268368361604
104.18.37.31,192.168.68.114,6,29512426,1770745591.002196,1770745591.002196,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.37.31,192.168.68.114,6,29512427,1770745636.028452,1770745675.830955,17,1808,106.3529411764706,40.079516552209355,72,160,39.80250310897827,0.4271088165850881,45.42427884622584
104.18.37.31,192.168.68.114,6,29512428,1770745694.157112,1770745714.459349,20,2282,114.1,48.67496925092966,72,241,20.302237033843994,0.9851131166806809,112.40140661326569
104.18.38.137,192.168.68.114,6,29512424,1770745471.569024,1770745490.106952,27,9768,361.77777777777777,507.5847283067688,72,1520,18.537927865982056,1.4564734632259646,526.9197329181934
104.18.38.137,192.168.68.114,6,29512425,1770745505.564747,1770745551.940482,7,987,141.0,120.3827230128975,72,406,46.37573480606079,0.1509410045851215,21.28268164650213
104.18.38.137,192.168.68.114,6,29512426,1770745596.964226,1770745596.964226,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.38.137,192.168.68.114,6,29512427,1770745642.01798,1770745642.01798,1,72,72.0,0.0,72,72,0.0,1.0,72.0
104.18.38.137,192.168.68.114,6,29512428,1770745687.075038,1770745732.140498,2,144,72.0,0.0,72,72,45.065459966659546,0.04437988653571151,3.1953518305712287
104.18.40.16,192.168.68.114,17,29512424,1770745464.872109,1770745499.857325,1023,1015185,992.3607038123167,465.2514984925916,70,1248,34.98521614074707,29.240922676722242,29017.542607593616
104.18.40.16,192.168.68.114,17,29512425,1770745501.452624,1770745544.970707,190,66259,348.7315789473684,445.31642225355967,72,1248,43.51808285713196,4.366001154595023,1522.562476327956
104.18.40.16,192.168.68.114,17,29512426,1770745597.286943,1770745604.191461,60,16945,282.4166666666667,386.0475641050109,71,1248,6.904518127441406,8.689961977438399,2454.190095128228
104.18.40.16,192.168.68.114,17,29512427,1770745649.688448,1770745675.790577,160,34448,215.3,302.2564573962579,70,1248,26.102128982543945,6.1297681927402,1319.7390918969652
104.18.40.16,192.168.68.114,17,29512428,1770745683.198986,1770745732.065569,381,102808,269.83727034120733,362.8121955486684,70,1248,48.8665828704834,7.79673915423567,2103.850810941367
104.18.87.42,192.168.68.114,6,29512415,1770744957.332643,1770744958.236291,172,206235,1199.0406976744187,530.8811648566092,72,1520,0.9036478996276855,190.33962240255988,228224.9536406508
104.18.87.42,192.168.68.114,6,29512416,1770745003.242258,1770745003.318153,2,144,72.0,0.0,72,72,0.07589483261108398,26.352255235199134,1897.3623769343378
104.18.87.42,192.168.68.114,6,29512417,1770745050.156205,1770745050.161428,2,144,72.0,0.0,72,72,0.00522303581237793,382.91906696489707,27570.172821472588
104.18.87.42,192.168.68.114,6,29512418,1770745095.199884,1770745095.201253,2,144,72.0,0.0,72,72,0.0013689994812011719,1460.9209334726577,105186.30721003134
